ID Único;Cliente;Modelo;Fecha;Video Path;Grifo;Ciclo #;Hora Inicio;Hora Fin;Duración (s);Cervezas;Tamaño (ml);Espuma (%);Mala Praxis;Causas Error;Clip Path;URL Video
Sin remedios Sevilla_00_20260102181934.mp4_Cruzcampo_10032939;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;60;21:06:46;21:06:51;5;1;500;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_087.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_087.mp4?alt=media
Sin remedios Sevilla_00_20260102181934.mp4_Cruzcampo_10107438;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;61;21:08:01;21:08:07;6;1;400;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_088.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_088.mp4?alt=media
Sin remedios Sevilla_00_20260102181934.mp4_Cruzcampo_10189438;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;62;21:09:23;21:09:33;10;1;400;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_089.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_089.mp4?alt=media
CProyectosgamboozaSinremediosSevillavideosdias20260102SinremediosSevilla0020260102181934mp4_MANUAL_mkpwjxds;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;63;21:09:23;21:09:33;10;1;400;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_089.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_089.mp4?alt=media
Sin remedios Sevilla_00_20260102181934.mp4_Cruzcampo_10344437;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;64;21:11:58;21:12:06;8;1;400;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_090.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_090.mp4?alt=media
CProyectosgamboozaSinremediosSevillavideosdias20260102SinremediosSevilla0020260102181934mp4_MANUAL_mkpwkig8;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;65;21:11:58;21:12:06;8;1;400;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_090.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_090.mp4?alt=media
Sin remedios Sevilla_00_20260102181934.mp4_Cruzcampo_10353937;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;66;21:12:07;21:12:17;9;1;400;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_091.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_091.mp4?alt=media
CProyectosgamboozaSinremediosSevillavideosdias20260102SinremediosSevilla0020260102181934mp4_MANUAL_mkpwl168;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;67;21:12:07;21:12:17;9;1;400;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_091.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_091.mp4?alt=media
Sin remedios Sevilla_00_20260102181934.mp4_Cruzcampo_10645435;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;68;21:16:59;21:17:09;10;1;400;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_092.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_092.mp4?alt=media
CProyectosgamboozaSinremediosSevillavideosdias20260102SinremediosSevilla0020260102181934mp4_MANUAL_mkpwllw3;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;69;21:16:59;21:17:09;10;1;400;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_092.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_092.mp4?alt=media
Sin remedios Sevilla_00_20260102181934.mp4_Cruzcampo_10893934;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;70;21:21:07;21:21:13;6;1;400;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_093.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_093.mp4?alt=media
Sin remedios Sevilla_00_20260102181934.mp4_Cruzcampo_10917933;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;71;21:21:31;21:21:37;6;1;400;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_094.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_094.mp4?alt=media
Sin remedios Sevilla_00_20260102181934.mp4_Cruzcampo_11390931;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;72;21:29:24;21:29:31;7;1;400;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_095.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_095.mp4?alt=media
